Time,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_11,Data_12,Data_13,Data_14
0 sec,41000,2000,-1600,0,-90,180,0,0.866,0,0,-0.5,0,0,0
0.1 sec,40997.2250538,1990.96662816842,-1582.02739003668,0.00104072993137117,-90.6672104950887,179.452349456894,0.0208034251903178,0.865960235827849,2.91167687844496e-05,5.04302310953244e-05,-0.500068861832033,-4.0431968476126e-22,0.00232928471321246,-0.00317004143339809
0.2 sec,40994.4501076,1981.86660219734,-1564.10950103072,0.00415753158846927,-91.3330920525569,178.905571291884,0.0415122511337735,0.865841980935734,0.000116452450642409,0.000201695246798428,-0.500273534985754,5.80632396029201e-21,0.00465682752250455,-0.00627370454446156
0.3 sec,40991.6751614,1972.70005222535,-1546.24624859141,0.00933819251980526,-91.9976995390635,178.359608779543,0.0620714546197058,0.865646803904898,0.000261921510111747,0.000453645038289325,-0.500610963216493,1.96088084585742e-20,0.00697920764026462,-0.00930652124618214
0.4 sec,40988.9002152,1963.46710297573,-1528.43755393316,0.016565007377197,-92.6610863909297,177.814406567127,0.0824262132021298,0.865376291870132,0.000465354167308034,0.00080598071704753,-0.501077845558644,2.09890877444351e-20,0.00929300998115548,-0.0122641196551696
0.5 sec,40986.125269,1954.16787390059,-1510.68334373115,0.0258148016805002,-93.3233045906736,177.269910814447,0.102521979017609,0.865032053858215,0.000726497154153637,0.00125825435833854,-0.501670643745182,4.03147732556792e-20,0.0115948296422176,-0.0151422298993114
0.6 sec,40983.3503228,1944.80247932756,-1492.9835499634,0.0370589629806264,-93.9844046411548,176.726069326989,0.12230455293968,0.864615724550372,0.00104501455064243,0.00180986900060303,-0.502385590138731,1.66093482923984e-21,0.0138812764664935,-0.0179366899263322
0.7 sec,40980.5753766,1935.37102860914,-1475.33810973978,0.0502634794561479,-94.6444355370352,176.182831681845,0.141720159099436,0.864128968417958,0.00142048870543273,0.00246007881192777,-0.503218696160041,5.13621669932368e-20,0.0161489796875421,-0.020643451303468
0.8 sec,40977.8004303999,1925.87362627506,-1457.74696511894,0.0653889859807358,-95.3034447333131,175.64014934599,0.160715519781326,0.863573484177724,0.00185242124537958,0.00320798943529839,-0.50416576119812,6.79295185691192e-20,0.0183945926505803,-0.0232585849962435
0.9 sec,40975.0254841999,1916.31037218798,-1440.21006291371,0.0823908176984951,-95.9614781107396,175.097975786513,0.179237930681247,0.862951009510611,0.00234023417881951,0.00405255852464741,-0.505222381984444,1.01068335615737e-19,0.0206147976043013,-0.0257782871121824
1 sec,40972.2505379999,1906.68136170275,-1422.7273544859,0.101219071141822,-96.6185799379805,174.556266572422,0.197235336490927,0.862263325985972,0.00288327109750231,0.00499259648380712,-0.506383962411692,2.37394167350575e-20,0.0228063105557224,-0.0281988845932144
1.1 sec,40969.4755917999,1896.98668582966,-1405.29879553144,0.121818672921624,-97.2747928304414,174.014979467669,0.214656406748806,0.861512264131547,0.00348079848202095,0.0060267674203487,-0.507645723775306,2.99930117049042e-19,0.0249658861787003,-0.0305168408386033
1.2 sec,40966.7006455999,1887.22643140196,-1387.92434585658,0.144129456012551,-97.9301577057307,173.474074515077,0.231450611873438,0.860699708588299,0.004132007115422,0.00715359032593271,-0.509002715413875,4.10413491084134e-19,0.0270903227650811,-0.0327287612384475
1.3 sec,40963.9256993999,1877.40068124802,-1370.60396914617,0.168086243646297,-98.5847137357892,172.933514110898,0.247568299271388,0.859827603288536,0.0048360136093846,0.00837144049421101,-0.510449825721932,4.10415586800779e-19,0.0291764672058154,-0.0348313985962231
1.4 sec,40961.1507531999,1867.50951436841,-1353.33763272505,0.193618940814021,-99.2384982957692,172.393263069757,0.262960769387875,0.858897956595472,0.00559186204693871,0.00967855118650965,-0.511981793506314,4.54615193468908e-19,0.0312212199878173,-0.0368216584174801
1.5 sec,40958.3758069999,1857.55300611828,-1336.12530731331,0.220652633364617,-99.8915469098029,171.853288679786,0.277580351545625,0.857912846342581,0.0063985257451568,0.0110730155544916,-0.513593219654653,2.99911105754954e-19,0.0332215401908899,-0.0386966040406962
1.6 sec,40955.6008607999,1847.53122839527,-1318.96696677666,0.249107694669036,-100.543893193847,171.313560747788,0.291380479395747,0.856874424711801,0.00725490914060362,0.0125527888277584,-0.515278579082106,-5.37336615431293e-20,0.0351744504677088,-0.0404534615854584
1.7 sec,40952.8259145999,1837.44424983332,-1301.86258787267,0.278899899802189,-101.195568795848,170.774051634331,0.304315765784417,0.855784922890778,0.00815984979957366,0.0141156907729115,-0.51703223291989,1.23098606251457e-19,0.0370770419886692,-0.0420896246926054
1.8 sec,40950.0509683999,1827.29213600258,-1284.81214999409,0.309940547173457,-101.846603333503,170.234736278702,0.316342076821057,0.854646655450992,0.00911212055429504,0.0157594084289765,-0.51884844090684,4.32580163213138e-19,0.0389264793323875,-0.043602659030739
1.9 sec,40947.2760221999,1817.07494961559,-1267.81563491013,0.342136587514559,-102.497024329969,169.695592213729,0.327416604917867,0.853462024390685,0.0101104317653422,0.0174814991223152,-0.520721373942884,1.23076135631891e-19,0.040720005301817,-0.0449903065436122
2 sec,40944.5010759999,1806.79275074006,-1250.87302650683,0.375390760109846,-103.146857147861,169.156599570496,0.337497940557288,0.852233522789035,0.0111534337094917,0.0192793937622272,-0.522645126761265,1.23080331019607e-19,0.0424549456453158,-0.0462504894133388
2.1 sec,40941.7261297999,1796.44559701826,-1233.98431052737,0.409601736129201,-103.796124921976,168.617741073072,0.346546142533557,0.850963738021016,0.0122397190911887,0.0211504004164156,-0.524613730674442,1.67301656490844e-19,0.0441287136616006,-0.0473813137151388
2.2 sec,40938.9511835999,1786.03354389321,-1217.14947431346,0.444664268897932,-104.444848491159,168.079002023387,0.354522806407114,0.849655354485725,0.0133678256746796,0.0230917081633651,-0.526621166346958,-4.51832868164135e-19,0.0457388146673465,-0.0483810727404454
2.3 sec,40936.1762373998,1775.55664484168,-1200.36850654873,0.480469350911701,-105.093046329794,167.540370276488,0.361391130906488,0.848311155804738,0.0145362390327296,0.0251003912165053,-0.528661376547274,-4.96055392070475e-19,0.0472828503062666,-0.0492482499666402
2.4 sec,40933.4012911998,1765.0149516141,-1183.64139700502,0.516904377377924,-105.740734479399,167.00183620643,0.367115982011508,0.846934026451126,0.015743395406693,0.0271734133128228,-0.530728278829526,-7.61441502650809e-19,0.0487585226788168,-0.0499815216534392
2.5 sec,40930.6263449998,1754.40851448122,-1166.96813629258,0.553853316038549,-106.387926480831,166.463392663129,0.37166395445436,0.845526952774193,0.0169876846715591,0.0293076323563835,-0.5328157780956,-2.30645292624088e-19,0.0501636382722369,-0.0505797590480184
2.6 sec,40927.8513987998,1743.7373824875,-1150.348715615,0.591196883003091,-107.034633307626,165.925034920571,0.375003430381178,0.844093023389655,0.0182674533984783,0.0314998053050578,-0.534917778987632,1.67483054500306e-19,0.0514961116714532,-0.0510420301833098
2.7 sec,40925.0764525998,1733.00160371114,-1133.78312652973,0.628812724295469,-107.680863300993,165.386760616791,0.377104634926467,0.842635428909874,0.0195810080061858,0.0337465932866404,-0.537028198061289,-1.86428472227651e-19,0.0527539690324168,-0.0513676012565025
2.8 sec,40922.3015063998,1722.20122553048,-1117.27136071501,0.666575602794092,-108.326622106982,164.848569686125,0.377939688465662,0.841157460993841,0.0209266179917216,0.0360445669285551,-0.539140975690804,-4.5187186625888e-19,0.0539353513007412,-0.0515559375776066
